,firearm_used_flag,zip_code,report_no,age,sex
11786,True,64114,KC20009860,28,M
11808,True,64134,KC20004297,53,M
11839,True,64128,KC20008838,49,M
11841,True,64130,KC20000457,45,M
11861,True,64130,KC20006207,26,F
11870,True,64128,KC20001542,40,F
11923,True,64130,KC20006539,44,F
11942,True,64131,KC20000498,18,M
11948,True,64118,KC20004727,25,M
11956,True,64131,KC20014755,18,M
11962,True,64133,KC20004714,36,M
11979,True,64124,KC20010401,41,M
11980,True,64106,KC20016206,48,F
11986,True,64132,KC20000645,27,M
11991,True,64130,KC20010200,32,M
11995,True,64131,KC20010302,18,M
12057,True,64116,KC20007512,55,M
12080,True,64134,KC20004297,19,M
12097,True,64111,KC20004740,20,M
12152,True,64132,KC20012251,20,M
12260,True,64030,KC20006857,39,F
12275,True,64111,KC20015257,20,F
12277,True,64133,KC20004714,29,M
12299,True,64130,KC20011556,40,M
12338,True,64132,KC20016792,23,M
12359,True,64124,KC20013315,38,F
12364,True,64130,KC20008013,29,M
12392,True,64110,KC20005131,24,F
12405,True,64101,KC20013992,22,M
12421,True,64134,KC20010847,27,F
12438,True,64137,KC20010067,35,F
12445,True,64137,KC20002806,40,F
12450,True,64130,KC20012804,37,M
12472,True,64126,KC20004310,45,M
12520,True,64124,KC20013039,55,F
12523,True,64130,KC20000810,56,F
12534,True,64116,KC20005941,60,M
12577,True,64132,KC20013538,95,F
12586,True,64106,KC20012133,23,M
12605,True,64132,KC20000083,35,F
12634,True,64108,KC20009618,24,M
12668,True,64120,KC20010297,33,M
12675,True,64130,KC20003393,22,M
12682,True,64131,KC20004959,39,M
12703,True,64052,KC20010357,36,M
12713,True,64130,KC20014607,20,M
12756,True,64138,KC20013712,27,M
12776,True,64134,KC20004297,18,M
12800,True,64110,KC20010094,33,M
12809,True,64108,KC20009618,28,M
12849,True,64129,KC20002599,26,M
12886,True,64131,KC20010867,93,F
12904,True,64130,KC20005139,25,M
12923,True,64132,KC20013754,22,M
12936,True,64127,KC20004227,26,M
12945,True,64126,KC20001881,21,M
12961,True,64128,KC20005334,26,M
12974,True,64127,KC20004187,59,M
12990,True,64115,KC20013618,35,M
13007,True,64111,KC20007646,23,F
13008,True,64133,KC20000175,39,F
13058,True,64132,KC20010829,57,M
