,Lat,Lng
10671,38.933536, -94.493496
10677,39.105116, -94.516465
10687,39.040503, -94.59165
10688,39.034162, -94.590941
10707,39.033747, -94.41578
10709,39.078666, -94.548927
10754,39.081278, -94.574843
10762,39.037199, -94.548691
10770,38.929616, -94.507698
10783,39.054147, -94.58875
10785,39.032276, -94.563217
10799,39.069128, -94.529706
10836,39.040511, -94.5393
10841,39.031174, -94.501929
10844,39.184283, -94.551814
10850,39.166926, -94.510775
10861,39.248015, -94.593988
10885,39.048147, -94.551676
10921,39.10689, -94.517827
10940,39.049382, -94.588602
10941,39.033747, -94.41578
10951,39.100817, -94.583116
10987,39.240633, -94.460931
10991,39.091862, -94.552236
11018,39.180748, -94.488472
11028,39.109419, -94.535834
11037,38.966705, -94.503202
11040,39.060867, -94.556776
11042,39.246394, -94.575366
11052,39.001548, -94.554384
11061,39.108701, -94.518912
11086,38.994003, -94.547788
11090,38.971462, -94.605386
11139,39.082082, -94.530937
11182,39.165553, -94.424599
11196,39.102145, -94.577007
11198,38.932515, -94.545969
11214,39.11451, -94.524402
11227,39.093332, -94.580055
11228,39.06358, -94.580555
11243,39.110874, -94.529293
11247,39.055921, -94.472982
11272,39.090303, -94.512662
11301,38.987189, -94.557459
11311,39.069988, -94.557003
11321,39.131023, -94.496292
11325,39.02477, -94.561118
11333,39.10445, -94.581809
11352,39.099709, -94.506437
11369,39.038542, -94.587153
11409,39.105487, -94.527068
11416,39.058909, -94.54861
11446,38.939121, -94.587421
11514,38.914091, -94.520983
11531,39.084618, -94.56026
11548,39.15001, -94.484286
11551,39.235125, -94.650813
11561,38.889923, -94.578672
11573,39.242008, -94.542908
11596,39.024803, -94.562268
11598,39.179861, -94.54119
11618,39.093106, -94.533265
11638,39.069842, -94.55284
11641,39.028213, -94.551614
11660,39.083241, -94.523647
11669,39.031968, -94.533293
11729,38.882765, -94.592729
11734,39.057357, -94.55689
11739,39.183286, -94.564871
11740,39.003182, -94.550821
11741,39.026773, -94.562178
11753,39.098433, -94.539901
11760,39.245255, -94.461802
11778,39.082175, -94.536948
11791,39.091041, -94.564575
11805,39.297401, -94.681712
11829,39.104156, -94.541723
11834,38.981667, -94.555432
11840,39.273974, -94.665975
11854,39.110335, -94.580974
11864,39.100688, -94.5375
11879,39.168365, -94.530686
11889,38.936276, -94.603763
11892,39.181641, -94.573842
11934,38.975728, -94.573914
11975,39.100114, -94.588419
11981,39.084761, -94.576146
11986,39.010585, -94.488973
12002,38.925248, -94.505714
12010,39.034577, -94.497804
12014,39.032356, -94.438989
12020,39.242051, -94.461697
12077,38.990112, -94.566164
12089,39.106722, -94.536451
12098,39.074714, -94.547993
12099,39.012279, -94.594038
12101,39.202618, -94.521087
12106,38.943649, -94.512274
12113,39.030843, -94.439078
12123,39.168396, -94.494642
12131,39.090399, -94.549612
12132,39.215363, -94.648319
12148,39.120064, -94.543983
12166,39.08249, -94.552242
12189,38.971462, -94.605386
12199,39.061156, -94.571825
12200,39.067579, -94.538454
12209,38.921087, -94.516245
12210,38.920616, -94.583763
12223,39.048055, -94.552824
12228,39.087852, -94.584905
12268,39.293653, -94.684662
12289,39.167023, -94.518735
12294,38.925097, -94.524499
12304,39.033747, -94.41578
12328,39.09565, -94.576681
12334,39.045995, -94.593323
12339,39.002643, -94.558847
12340,39.100995, -94.502917
12374,39.052132, -94.565389
12381,39.063652, -94.532406
12400,39.152359, -94.558428
12403,39.078187, -94.532957
12404,39.033747, -94.41578
12423,39.252223, -94.655534
12424,39.10091, -94.577328
12440,39.024435, -94.518248
12458,39.157099, -94.54086
12505,38.99423, -94.565965
12574,38.914974, -94.505658
12581,39.248015, -94.593988
12582,39.293035, -94.681463
12599,38.99581, -94.540397
12601,39.056624, -94.587312
12615,39.104748, -94.50687
12623,39.107937, -94.546844
12647,39.094296, -94.576472
12662,39.168396, -94.494642
12684,39.068631, -94.569897
12692,38.89203, -94.595109
12695,38.950206, -94.543425
12709,39.091862, -94.552236
12726,38.91633, -94.523771
12746,39.080087, -94.53742
12763,39.039822, -94.595596
12782,39.033574, -94.550122
12803,38.99994, -94.559124
12836,39.126143, -94.545622
12855,38.963096, -94.589813
12913,39.079283, -94.52356
12939,39.090741, -94.526883
12958,39.100258, -94.603269
12989,39.105933, -94.540295
12990,38.914804, -94.499704
13011,39.056941, -94.547814
13026,39.089992, -94.569027
13028,39.113959, -94.527942
13035,38.964103, -94.592307
13038,39.158923, -94.525758
13044,39.191353, -94.560849
13074,39.213509, -94.595986
13097,39.063169, -94.593871
13102,39.240456, -94.658045
13117,39.051373, -94.595768
13141,39.301331, -94.6817
13145,39.104029, -94.537317
13155,39.274347, -94.478627
13159,38.971462, -94.605386
13164,38.952353, -94.50797
13170,39.065419, -94.586794
13188,39.069842, -94.55284
13194,38.878944, -94.590375
13197,39.088022, -94.556606
13203,39.050408, -94.586841
13207,39.064055, -94.540473
13210,38.888707, -94.475554
13269,39.033747, -94.41578
13275,39.099705, -94.604225
13299,38.911391, -94.519205
13303,39.033747, -94.41578
13326,38.928821, -94.511166
13332,39.100995, -94.502917
13343,38.923828, -94.602169
13345,39.019153, -94.590822
13350,38.925585, -94.530583
13399,39.103133, -94.570632
13408,39.032276, -94.563217
13416,39.111248, -94.536434
13460,39.269826, -94.455647
13464,39.058004, -94.574373
13466,39.081062, -94.566805
13477,39.002625, -94.558401
13526,39.033228, -94.540271
13573,39.162412, -94.474411
13595,39.105711, -94.484459
13620,39.223608, -94.663631
13635,39.084761, -94.576146
13653,39.069377, -94.523636
13659,38.94961, -94.51218
